rabbitmq-3-1  |
rabbitmq-3-1  | [38;5;160m2026-08-30 14:38:48.534832+00:00 [error] <0.1516.0> MQTT connection failed: access refused for user 'atlas':user 'atlas' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:38:51.537166+00:00 [error] <0.1516.0> Rejected MQTT connection 192.168.80.3:44508 -> 192.168.80.4:1883 with Connect Reason Code 134[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.567393+00:00 [info] <0.1521.0> accepting STOMP connection <0.1521.0> (192.168.80.3:44224 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:38:51.568930+00:00 [warning] <0.1525.0> User 'atlas' failed to authenticate: user 'atlas' - invalid credentials[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:38:51.569704+00:00 [warning] <0.1521.0> STOMP login failed for user 'atlas': authentication failed[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:38:51.569804+00:00 [error] <0.1521.0> STOMP error frame sent:[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:38:51.569804+00:00 [error] <0.1521.0> Message: "Bad CONNECT"[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:38:51.569804+00:00 [error] <0.1521.0> Detail: "Access refused for user 'atlas'"[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:38:51.569804+00:00 [error] <0.1521.0> Server private detail: none[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.570470+00:00 [info] <0.1521.0> closing STOMP connection <0.1521.0> (192.168.80.3:44224 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.584581+00:00 [info] <0.1533.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.587228+00:00 [info] <0.1533.0> Accepted MQTT connection 192.168.80.3:44520 -> 192.168.80.4:1883 for client ID compat-31[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.587442+00:00 [info] <0.1533.0> MQTT detected network error for <<"192.168.80.3:44520 -> 192.168.80.4:1883">>: einval[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.589014+00:00 [info] <0.1537.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.589893+00:00 [info] <0.1537.0> Accepted MQTT connection 192.168.80.3:44536 -> 192.168.80.4:1883 for client ID compat-311[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.590129+00:00 [info] <0.1537.0> MQTT connection <<"192.168.80.3:44536 -> 192.168.80.4:1883">> will terminate because peer closed TCP connection[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.591973+00:00 [info] <0.1542.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.593085+00:00 [info] <0.1542.0> Accepted MQTT connection 192.168.80.3:44548 -> 192.168.80.4:1883 for client ID compat-50[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.593505+00:00 [info] <0.1542.0> MQTT detected network error for <<"192.168.80.3:44548 -> 192.168.80.4:1883">>: einval[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.638627+00:00 [info] <0.1548.0> accepting STOMP connection <0.1548.0> (192.168.80.3:44236 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.639517+00:00 [info] <0.1552.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.644062+00:00 [info] <0.1548.0> closing STOMP connection <0.1548.0> (192.168.80.3:44236 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.644714+00:00 [info] <0.1571.0> accepting STOMP connection <0.1571.0> (192.168.80.3:44240 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.645176+00:00 [info] <0.1575.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.647923+00:00 [info] <0.1571.0> closing STOMP connection <0.1571.0> (192.168.80.3:44240 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.650576+00:00 [info] <0.1594.0> accepting STOMP connection <0.1594.0> (192.168.80.3:44250 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.651017+00:00 [info] <0.1598.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:38:51.653563+00:00 [info] <0.1594.0> closing STOMP connection <0.1594.0> (192.168.80.3:44250 -> 192.168.80.4:61613)[0m
rabbitmq-3-1  | 2026-08-30 14:39:55.866470+00:00 [info] <0.1768.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-3-1  | 2026-08-30 14:39:55.866470+00:00 [info] <0.1768.0>     rabbitmq_mqtt[0m
rabbitmq-3-1  | 2026-08-30 14:39:55.866470+00:00 [info] <0.1768.0> [0m
rabbitmq-3-1  | 2026-08-30 14:39:55.869569+00:00 [info] <0.1768.0> Stopping application 'rabbitmq_mqtt'[0m
rabbitmq-3-1  | 2026-08-30 14:39:55.872925+00:00 [info] <0.1336.0> stopped MQTT TCP listener on [::]:1883[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:39:56.028594+00:00 [notice] <0.45.0> Application rabbitmq_mqtt exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 14:39:56.093367+00:00 [info] <0.1768.0> Plugins changed; disabled [rabbitmq_mqtt][0m
rabbitmq-3-1  | 2026-08-30 14:40:06.518603+00:00 [info] <0.1858.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-3-1  | 2026-08-30 14:40:06.518603+00:00 [info] <0.1858.0>     rabbitmq_stomp[0m
rabbitmq-3-1  | 2026-08-30 14:40:06.518603+00:00 [info] <0.1858.0> [0m
rabbitmq-3-1  | 2026-08-30 14:40:06.520407+00:00 [info] <0.1858.0> Stopping application 'rabbitmq_stomp'[0m
rabbitmq-3-1  | 2026-08-30 14:40:06.530916+00:00 [info] <0.1288.0> stopped STOMP TCP listener on [::]:61613[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:40:06.552179+00:00 [notice] <0.45.0> Application rabbitmq_stomp exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 14:40:06.602044+00:00 [info] <0.1858.0> Plugins changed; disabled [rabbitmq_stomp][0m
rabbitmq-3-1  | 2026-08-30 14:40:15.860341+00:00 [info] <0.1947.0> Stopping RabbitMQ applications and their dependencies in the following order:[0m
rabbitmq-3-1  | 2026-08-30 14:40:15.860341+00:00 [info] <0.1947.0>     rabbitmq_stream[0m
rabbitmq-3-1  | 2026-08-30 14:40:15.860341+00:00 [info] <0.1947.0>     rabbitmq_stream_common[0m
rabbitmq-3-1  | 2026-08-30 14:40:15.860341+00:00 [info] <0.1947.0> [0m
rabbitmq-3-1  | 2026-08-30 14:40:15.861009+00:00 [info] <0.1947.0> Stopping application 'rabbitmq_stream'[0m
rabbitmq-3-1  | 2026-08-30 14:40:15.864369+00:00 [info] <0.1310.0> stopped Stream TCP listener on [::]:5552[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:40:15.899769+00:00 [notice] <0.45.0> Application rabbitmq_stream exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 14:40:15.900314+00:00 [info] <0.1947.0> Stopping application 'rabbitmq_stream_common'[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:40:15.900381+00:00 [notice] <0.45.0> Application rabbitmq_stream_common exited with reason: stopped[0m
rabbitmq-3-1  | 2026-08-30 14:40:15.923373+00:00 [info] <0.1947.0> Plugins changed; disabled [rabbitmq_stream,rabbitmq_stream_common][0m
rabbitmq-3-1  | 2026-08-30 14:40:29.667889+00:00 [info] <0.2001.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:40:36.057290+00:00 [info] <0.2060.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:40:41.353137+00:00 [info] <0.2119.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:40:45.299122+00:00 [info] <0.2178.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:40:52.143818+00:00 [info] <0.2239.0> User 'atlas' authenticated successfully[0m
